tanggal,curah_hujan_mm,durasi_hujan_jam,status_banjir
2021-08-18,1.5,8.0,0
2021-08-19,24.1,16.0,0
2021-08-20,20.9,17.0,0
2021-08-21,22.7,19.0,0
2021-08-22,18.7,18.0,0
2021-08-23,7.4,10.0,0
2021-08-24,20.6,10.0,0
2021-08-25,14.2,22.0,0
2021-08-26,17.4,17.0,0
2021-08-27,7.2,17.0,0
2021-08-28,22.7,20.0,0
2021-08-29,3.3,5.0,0
2021-08-30,18.0,15.0,0
2021-08-31,13.9,17.0,0
2021-09-01,9.9,12.0,0
2021-09-02,18.5,19.0,0
2021-09-03,104.0,22.0,0
2021-09-04,11.0,18.0,0
2021-09-05,29.3,19.0,0
2021-09-06,15.5,21.0,0
2021-09-07,6.3,9.0,0
2021-09-08,9.6,14.0,0
2021-09-09,29.5,18.0,0
2021-09-10,4.2,6.0,0
2021-09-11,17.8,19.0,0
2021-09-12,25.5,18.0,0
2021-09-13,16.8,16.0,0
2021-09-14,8.4,12.0,0
2021-09-15,30.7,22.0,0
2021-09-16,5.5,13.0,0
2021-09-17,8.0,8.0,0
2021-09-18,11.1,11.0,0
2021-09-19,1.6,7.0,0
2021-09-20,20.5,19.0,0
2021-09-21,36.3,23.0,0
2021-09-22,5.8,14.0,0
2021-09-23,0.9,4.0,0
2021-09-24,15.2,16.0,0
2021-09-25,3.7,5.0,0
2021-09-26,10.3,13.0,0
2021-09-27,1.0,5.0,0
2021-09-28,3.0,9.0,0
2021-09-29,31.5,19.0,0
2021-09-30,12.9,10.0,0
2021-10-01,16.2,18.0,0
2021-10-02,13.4,18.0,0
2021-10-03,11.8,11.0,0
2021-10-04,26.5,19.0,0
2021-10-05,3.0,4.0,0
2021-10-06,7.6,10.0,0
2021-10-07,5.1,12.0,0
2021-10-08,7.4,9.0,0
2021-10-09,1.7,8.0,0
2021-10-10,26.8,11.0,0
2021-10-11,7.6,14.0,0
2021-10-12,1.2,6.0,0
2021-10-13,0.0,0.0,0
2021-10-14,10.1,13.0,0
2021-10-15,8.1,7.0,0
2021-10-16,11.8,5.0,0
2021-10-17,14.1,13.0,0
2021-10-18,17.6,12.0,0
2021-10-19,10.9,16.0,0
2021-10-20,7.3,12.0,0
2021-10-21,12.7,13.0,0
2021-10-22,27.6,16.0,0
2021-10-23,2.3,1.0,0
2021-10-24,1.7,7.0,0
2021-10-25,2.2,9.0,0
2021-10-26,16.4,10.0,0
